Crop Name,Growth Stage,DAS (Days After Sowing),Ideal Water Required (in mm),IF Condition,Farmer Advisory
Paddy,Planting/Transplanting,0,10 to 30,>=10 & <= 30,Saturated mud
Paddy,Planting/Transplanting,0,10 to 30,<10,Ensure mud is soft. Transplanting in dry mud causes root damage and poor seedling establishment.
Paddy,Planting/Transplanting,0,10 to 30,>30,Wait for water to drain. Transplanting in deep water can drown seedlings and cause floating.
Paddy,Vegetative (Tillering),1 to 50,30 to 50,>=30 & <= 50,Shallow flooding
Paddy,Vegetative (Tillering),1 to 50,30 to 50,<30,"Light, frequent irrigation. Stress here reduces the number of tillers, directly impacting yield."
Paddy,Vegetative (Tillering),1 to 50,30 to 50,>50,Drain excess water. Stagnant water can lead to nutrient loss and root rot diseases.
Paddy,Reproductive (Panicle Init.),50 to 65,50 to 100,>=50 & <= 100,Critical Stage. Flooding
Paddy,Reproductive (Panicle Init.),50 to 65,50 to 100,<50,Priority for water supply. Drought causes panicle sterility and massive yield loss. Do not let field dry.
Paddy,Reproductive (Panicle Init.),50 to 65,50 to 100,>100,Ensure good drainage. Waterlogged conditions can harm developing panicles.
Paddy,Flowering,70 to 90,50 to 100,>=50 & <= 100,Critical Stage. Flooding
Paddy,Flowering,70 to 90,50 to 100,<50,Avoid stress at all costs. Water shortage causes poor pollination and high spikelet sterility.
Paddy,Flowering,70 to 90,50 to 100,>100,Maintain steady level. Avoid sudden rises in water level that can submerge flowers.
Paddy,Grain Filling/Maturation,90 to 115,0 to 10,>=0 & <= 10,Gradual drying
Paddy,Grain Filling/Maturation,90 to 115,0 to 10,>5,Minor stress tolerable. Late water shortage has less impact than earlier stages.
Paddy,Grain Filling/Maturation,90 to 115,0 to 10,>10,Drain field completely. 2-3 weeks before harvest to allow even maturity and field access.
Paddy,Harvest,115+,0,0,Dry Field
Paddy,Harvest,115+,0,>0,Postpone harvest. A wet field will hinder machinery and damage grain quality.
Cotton,Germination & Seedling,0 to 25,30 to 50,>= 30 & <= 50,Adequate moisture
Cotton,Germination & Seedling,0 to 25,30 to 50,< 30,Light irrigation needed. Dry soil will hinder seedling emergence.
Cotton,Germination & Seedling,0 to 25,30 to 50,> 50,Ensure drainage. Waterlogging can rot seeds and damage young roots.
Cotton,Vegetative Growth,25 to 60,50 to 75,>= 50 & < = 75,Moderate moisture
Cotton,Vegetative Growth,25 to 60,50 to 75,< 50,Schedule irrigation. Promotes healthy leaf and stem development.
Cotton,Vegetative Growth,25 to 60,50 to 75,> 75,Avoid waterlogging. Can lead to excessive vegetative growth with less flowering
Cotton,Flowering & Boll formation,60 to 110,75 to 100,>= 75 & <= 100,Critical Stage. High demand
Cotton,Flowering & Boll formation,60 to 110,75 to 100,< 75,Critical.?rrigate immediately. Water stress causes flower and boll drop
Cotton,Flowering & Boll formation,60 to 110,75 to 100,> 100,Drain excess water. Prevents boll rot and maintains plant health
Cotton,Boll Opening,110+,0 to 30,>= 0 & <= 30,Dry down
Cotton,Boll Opening,110+,0 to 30,> 30,Stop irrigation. Dry conditions are necessary for boll opening and harvest.
Soybean,Germination & Seedling,0 to 20,30 to 50,>= 30 & <= 50,Adequate moisture
Soybean,Germination & Seedling,0 to 20,30 to 50,< 30,Light irrigation needed for uniform germination and stand establishment.
Soybean,Germination & Seedling,0 to 20,30 to 50,> 50,Improve drainage. Soybeans are very sensitive to waterlogging at early stages.
Soybean,Vegetative Growth,20 to 40,40 to 60,>= 40 & <= 60,Moderate moisture
Soybean,Vegetative Growth,20 to 40,40 to 60,< 40,Irrigate to promote healthy branch and leaf development.
Soybean,Vegetative Growth,20 to 40,40 to 60,> 60,Avoid saturated soils to prevent root diseases.
Soybean,Flowering & Pod set,40 to 65,50 to 75,>= 50 & < = 75,Critical Stage. High demand
Soybean,Flowering & Pod set,40 to 65,50 to 75,< 50,Critical.?void moisture stress. Drought causes flower and pod abortion.
Soybean,Flowering & Pod set,40 to 65,50 to 75,> 75,Ensure good drainage. Waterlogging severely reduces yield.
Soybean,Pod Filling,65 to 95,50 to 75,>= 50 & < = 75,High demand
Soybean,Pod Filling,65 to 95,50 to 75,< 50,Irrigation is crucial for good seed size and yield.
Soybean,Pod Filling,65 to 95,50 to 75,> 75,Drain excess water to allow for proper maturation.
Soybean,Maturation,0 to 20,0 to 20,>= 0 & <= 20,Dry down
Soybean,Maturation,0 to 20,0 to 20,>20,Stop irrigation. Dry conditions are needed for harvest.
Jowar,Germination & Seedling,0 to 25,30 to 50,>= 30 & <= 50,Adequate moisture
Jowar,Germination & Seedling,0 to 25,30 to 50,< 30,A light irrigation may be needed for good crop establishment.
